Neuron,x,y,z
AVAL,56.963461675879,30.8845326050976,13.5670933291684
DD1,123.492732555662,12.9852913923595,22.036379447971
AQR,93.2625306949208,3.28526173026436,19.3022445312966
AVEL,56.5031509470079,27.1736940194572,15
OLQVL,42.4607930701171,27.0198960455064,16.9480500719281
AVDR,69.7413219709967,4.57902125967848,11.4766555723859
AVDL,69.2006207075363,31.2105722359373,12.143063501748
RMDDR,63.9879799048353,18.7467130461876,19.6324038143534
VB1,107.715214836313,20.8343021042416,20.9315076692625
RMDDL,65.1845477869679,25.0596211051295,19.2043398099489
CEPVL,49.4286938143495,24.2022811837218,19.261153000905
RIGL,116.293088165119,15.3569173848997,21.0191623266052
RMDVR,55.4293907130029,6.95878605295795,13.8627024601112
DB2,98.7013772291589,15.4364193351305,23.9096984917672
M3L,34.1569761580375,24.5609609851479,18.2885315023574
OLLL,42.5850953828552,28.8355514002516,12
RMDVL,54.0525702559428,32.0042956955202,13.0595991240928
SMBDR,68.3438847851676,18.0334784250883,18.75
ADEL,96.2387369271411,31.1773118324041,17.9263718646097
VB3,162.863243631972,19.5037562601173,23.9716257994977
CEPVR,51.382403834072,10.2645114130321,17.7447420869377
IL1VL,40.8280888978268,25.4016366510701,19.6236345174125
OLLR,40.3193388947941,12.5798003484769,11.8464677621609
ADER,85.7522935183368,4.78240653441703,18.2422673036965
IL1DL,41.7536627156066,23.832144912591,8.55082013452207
AIMR,75.2263275008116,10.9531716948237,22.0365699819882
AIML,92.6187721636471,25.5729725429728,21.9629450304144
AVKR,105.112479335243,9.30872717591797,20.25
AWBL,62.6343679283418,30.9477072728358,11.253767484728
URXR,56.0356005587407,14.4721818578531,7.76955536600006
RMEL,45.7890510920336,28.1046687466931,12.1670021141007
RMER,46.8785132623797,11.2142467426911,11.8095873938865
OLQDR,44.674849949313,14.8065129019294,7.90489259497388
AVJR,69.3445881484255,8.35272677924452,11.4266590432919
VB2,81.9774086231722,21.8824946085502,23.4955426287337
OLQDL,45.4995490267599,23.9162690157796,6.39300507323816
SABD,120.026539698586,14.0165122657204,20.9954944662465
IL1DR,41.7373442656106,15.7087077333625,9.34033331354327
URYVR,41.2263383581126,10.4444360289467,15.1696101559132
VA2,155.96660182392,19.164377586166,24.1364704899793
ADAL,101.513144657408,31.1512944993535,17.0825971916233
,108.122800464554,14.7954228900099,20.7526134511019
ASGR,66.2492777471955,8.63094641840121,12.4759438077347
AVJL,70.0202845619597,27.4548233944021,11.6683555568396
RIH,49.9700209390866,13.2759654215316,17.7128886225523
ASGL,65.4888412061738,29.206949664342,10.4333761908889
ADAR,94.4535684421075,2.79403918928741,16.9214714384936
URYVL,40.5725406344812,29.0547028666854,15.9977414537656
AIZR,71.0571735926166,10.0941486190535,15.3069710462032
URXL,57.1202018249649,23.7289515922319,6.89572655822115
RICL,69.5219133609035,24.8258540397185,16.067278528327
SMBVR,72.7062604097528,16.3716210442939,21
SMDVR,58.4261649796573,8.38035375262496,9.34998629820805
